,companyname,positionname,salary,city,district,education,workyear,financestage,companysize,industryfield,workdescribe
241,北京天空卫士网络安全,Linux C/C++ 初、中级开发工程师,8k-16k,成都,高新区,本科,1-3年,A轮,50-150人,"信息安全,移动互联网",
242,订货宝,技术总监,30k-40k,成都,高新区,本科,5-10年,B轮,150-500人,电子商务,
243,卡莱博尔,高级大数据运维工程师,10k-18k,成都,高新区,本科,5-10年,C轮,50-150人,"企业服务,数据服务",
244,俊云科技,linux运维工程师,10k-15k,成都,高新区,本科,1-3年,不需要融资,50-150人,"移动互联网,硬件",
245,矽递科技,技术支持工程师,4k-6k,成都,金牛区,本科,1年以下,不需要融资,150-500人,"移动互联网,硬件",
246,掌控者,中高级测试工程师,7k-12k,成都,高新区,大专,3-5年,不需要融资,50-150人,"移动互联网,电子商务",
247,成都卓杭,cocos2d-x lua 客户端开发,6k-10k,成都,高新区,本科,1-3年,不需要融资,50-150人,"移动互联网,游戏",
248,顶呱呱,爬虫工程师,8k-16k,成都,武侯区,大专,3-5年,上市公司,2000人以上,金融,
249,生学教育,高级运维工程师,10k-17k,成都,高新区,大专,3-5年,A轮,150-500人,"移动互联网,教育",
250,新蛋,IT桌面支持维护工程师,5k-7k,成都,高新区,大专,1-3年,不需要融资,500-2000人,电子商务,
251,快牛金科,测试开发工程师,15k-25k,成都,高新区,大专,5-10年,B轮,500-2000人,其他,
252,西瓜创客,后端开发,10k-20k,成都,高新区,本科,不限,A轮,50-150人,教育,
253,软维科技,数据仓库,6k-10k,成都,武侯区,大专,1-3年,不需要融资,50-150人,移动互联网,
254,译讯信息科技,C# / .Net 高级研发工程师,15k-30k,成都,高新区,本科,5-10年,天使轮,15-50人,企业服务、生活服务,
255,订货宝,golang后端开发工程师,12k-18k,成都,高新区,大专,3-5年,B轮,150-500人,电子商务,
256,掌控者,初中级测试工程师,4k-8k,成都,高新区,大专,1-3年,不需要融资,50-150人,"移动互联网,电子商务",
257,成都卓杭,运维开发工程师,10k-20k,成都,高新区,大专,3-5年,不需要融资,50-150人,"移动互联网,游戏",
258,生学教育,中级运维工程师,6k-12k,成都,高新区,本科,3-5年,A轮,150-500人,"移动互联网,教育",
259,西瓜创客,运维开发工程师,10k-20k,成都,高新区,不限,1-3年,A轮,50-150人,教育,
260,PALMAX,测试工程师,10k-20k,成都,高新区,本科,1-3年,A轮,50-150人,移动互联网,
261,华亿创新,前端开发负责人,10k-20k,成都,武侯区,本科,3-5年,A轮,15-50人,企业服务,
262,梦之晨科技,Html5游戏开发工程师,4k-8k,成都,高新区,大专,1-3年,不需要融资,15-50人,"移动互联网,游戏",
263,天象互动,游戏数据分析师 Data Scientist,15k-30k,成都,高新区,本科,1-3年,不需要融资,500-2000人,"移动互联网,游戏",
264,中建电商,C#/.NET架构师,18k-25k,成都,高新区,大专,5-10年,不需要融资,150-500人,"移动互联网,电子商务",
265,蚂蚁金融服务集团(成都),测试工程师,20k-40k,成都,高新区,本科,1-3年,D轮及以上,500-2000人,"移动互联网,金融",
266,每日币读,区块链开发工程师,15k-30k,成都,锦江区,本科,1-3年,不需要融资,15-50人,移动互联网,
267,动漫社区,WEB前端,4k-8k,成都,高新区,不限,1-3年,不需要融资,少于15人,"社交网络,文化娱乐",
268,惠装网,PHP工程师,10k-18k,成都,高新区,本科,3-5年,B轮,150-500人,电子商务,
269,100课堂,后端开发工程师,10k-20k,成都,高新区,本科,3-5年,A轮,150-500人,"移动互联网,教育",
270,订货宝,运维开发工程师,15k-20k,成都,高新区,本科,3-5年,B轮,150-500人,电子商务,
271,掌控者,中高级Java 工程师,7k-12k,成都,高新区,本科,3-5年,不需要融资,50-150人,"移动互联网,电子商务",
272,生学教育,高级大数据开发工程师,10k-20k,成都,高新区,大专,3-5年,A轮,150-500人,"移动互联网,教育",
273,西瓜创客,数据分析师,10k-20k,成都,武侯区,本科,不限,A轮,50-150人,教育,
274,华亿创新,前端开发leader,10k-20k,成都,武侯区,本科,3-5年,A轮,15-50人,企业服务,
275,天象互动,hadoop数据库开发工程师,10k-20k,成都,高新区,本科,1-3年,不需要融资,500-2000人,"移动互联网,游戏",
276,中建电商,Java开发工程师,10k-20k,成都,高新区,本科,3-5年,不需要融资,150-500人,"移动互联网,电子商务",
277,蚂蚁金融服务集团(成都),"算法工程师(P6,P7,P8)",25k-50k,成都,高新区,本科,1-3年,D轮及以上,500-2000人,"移动互联网,金融",
278,每日币读,测试工程师,10k-20k,成都,锦江区,本科,1-3年,不需要融资,15-50人,移动互联网,
279,100课堂,后端开发-Golang/JAVA,10k-20k,成都,高新区,本科,1-3年,A轮,150-500人,"移动互联网,教育",
280,悠然阿尔法,运维开发工程师,15k-20k,成都,高新区,大专,3-5年,天使轮,50-150人,"移动互联网,数据服务",
281,深圳博瑞得,高级测试工程师,10k-15k,成都,高新区,本科,5-10年,上市公司,150-500人,"移动互联网,数据服务",
282,OPPO,测试开发工程师（成都）,15k-30k,成都,高新区,本科,不限,不需要融资,2000人以上,移动互联网,
283,大农科技,web前端,9k-18k,成都,武侯区,大专,不限,未融资,50-150人,移动互联网,
284,同步新科,C++高级开发工程师,9k-15k,成都,高新区,本科,5-10年,未融资,150-500人,移动互联网,
285,生学教育,性能测试工程师,10k-15k,成都,高新区,本科,3-5年,A轮,150-500人,"移动互联网,教育",
286,西瓜创客,数据工程师,15k-30k,成都,高新区,不限,不限,A轮,50-150人,教育,
287,华亿创新,前端开发工程师,8k-12k,成都,武侯区,本科,1-3年,A轮,15-50人,企业服务,
288,天象互动,Hadoop开发工程师,10k-20k,成都,高新区,本科,3-5年,不需要融资,500-2000人,"移动互联网,游戏",
289,中建电商,C#/.NET开发工程师,10k-17k,成都,高新区,大专,1-3年,不需要融资,150-500人,"移动互联网,电子商务",
290,100课堂,Golang后端开发,10k-20k,成都,高新区,大专,不限,A轮,150-500人,"移动互联网,教育",
291,悠然阿尔法,深度学习算法实习生,2k-4k,成都,高新区,大专,不限,天使轮,50-150人,"移动互联网,数据服务",
292,大农科技,测试工程师,7k-14k,成都,武侯区,本科,3-5年,未融资,50-150人,移动互联网,
293,四川长虹电器股份有限公司,后端开发工程师,8k-15k,成都,高新区,本科,3-5年,上市公司,2000人以上,硬件,
294,云图金控,高级运维工程师,10k-15k,成都,锦江区,本科,5-10年,未融资,50-150人,"移动互联网,电子商务",
295,ETCP,DBA,10k-15k,成都,金牛区,本科,1-3年,B轮,500-2000人,移动互联网,
296,南天信息,Devops开发工程师,5k-10k,成都,高新区,本科,1-3年,上市公司,50-150人,其他,
297,天府·星空购物集团,Web前端工程师,6k-8k,成都,高新区,本科,3-5年,不需要融资,150-500人,电子商务,
298,公平价,机器学习/深度学习,13k-25k,成都,武侯区,本科,1-3年,A轮,50-150人,"移动互联网,数据服务",
299,妥妥递,高级测试工程师,8k-15k,成都,锦江区,本科,3-5年,A轮,50-150人,"信息安全,数据服务",
